Scenario_ID,Scene,Initial State,Event,Contextual Steering Packet Snippet,Desired LLM Resolution,Reducer Expectation,Scorer Outcome If Good,Scorer Outcome If Bad,Skill Update If Bad
SIM-013,Task timer return,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use explicit state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,confirm before route mutation,reject_without_mutation,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'restore before helping'.
SIM-014,Side question,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use committed state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,classify intent as proposal only,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'prefer visible action'.
SIM-015,Voice check-in,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use high-risk state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,emit repair posture without mutation,hold_same_chunk,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 're-anchor to active_chunk_id'.
SIM-016,Route completion,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use parked state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,brief answer then active chunk restated,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'preserve unless explicit'.
SIM-017,Ambiguous progress,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use fresh state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,brief answer then active chunk restated,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'restore before helping'.
SIM-018,Long assistant answer,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,Billy says done vaguely,Treat this as route preservation. Use bounded state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,confirm before route mutation,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'prefer visible action'.
SIM-019,Stale packet,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use active state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,emit repair posture without mutation,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 're-anchor to active_chunk_id'.
SIM-020,Shortcut/email return,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use low-risk state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,confirm before route mutation,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'preserve unless explicit'.
SIM-021,Desk reset,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use pending state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,hold state and ask one question,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'restore before helping'.
SIM-022,Phone recovery,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use stale state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,short route-aware check-in,reject_without_mutation,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'prefer visible action'.
SIM-023,Task timer return,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use visible state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,confirm before route mutation,hold_same_chunk,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 're-anchor to active_chunk_id'.
SIM-024,Side question,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,Billy says done vaguely,Treat this as route preservation. Use current state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,hold state and ask one question,park_side_question,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'preserve unless explicit'.
SIM-025,Voice check-in,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use explicit state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,short route-aware check-in,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'restore before helping'.
SIM-026,Route completion,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use committed state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,classify intent as proposal only,reject_without_mutation,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'prefer visible action'.
SIM-027,Ambiguous progress,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use high-risk state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,emit repair posture without mutation,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 're-anchor to active_chunk_id'.
SIM-028,Long assistant answer,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use parked state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,confirm before route mutation,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'preserve unless explicit'.
SIM-029,Stale packet,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use fresh state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,classify intent as proposal only,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'restore before helping'.
SIM-030,Shortcut/email return,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,Billy says done vaguely,Treat this as route preservation. Use bounded state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,emit repair posture without mutation,advance_one_chunk,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'prefer visible action'.
SIM-031,Desk reset,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use active state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,short route-aware check-in,park_side_question,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 're-anchor to active_chunk_id'.
SIM-032,Phone recovery,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use low-risk state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,hold state and ask one question,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'preserve unless explicit'.
SIM-033,Task timer return,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use pending state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,short route-aware check-in,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'restore before helping'.
SIM-034,Side question,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use stale state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,confirm before route mutation,advance_one_chunk,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'prefer visible action'.
SIM-035,Voice check-in,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use visible state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,short route-aware check-in,park_side_question,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 're-anchor to active_chunk_id'.
SIM-036,Route completion,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,Billy says done vaguely,Treat this as route preservation. Use current state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,hold state and ask one question,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'preserve unless explicit'.
SIM-037,Ambiguous progress,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use explicit state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,short route-aware check-in,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'restore before helping'.
SIM-038,Long assistant answer,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use committed state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,classify intent as proposal only,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'prefer visible action'.
SIM-039,Stale packet,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use high-risk state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,short route-aware check-in,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 're-anchor to active_chunk_id'.
SIM-040,Shortcut/email return,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use parked state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,brief answer then active chunk restated,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'preserve unless explicit'.
SIM-041,Desk reset,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use fresh state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,emit repair posture without mutation,advance_one_chunk,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'restore before helping'.
SIM-042,Phone recovery,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,Billy says done vaguely,Treat this as route preservation. Use bounded state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,short route-aware check-in,advance_one_chunk,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'prefer visible action'.
SIM-043,Task timer return,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use active state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,short route-aware check-in,terminal_commit_only_after_conditions,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 're-anchor to active_chunk_id'.
SIM-044,Side question,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use low-risk state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,hold state and ask one question,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'preserve unless explicit'.
SIM-045,Voice check-in,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use pending state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,confirm before route mutation,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'restore before helping'.
SIM-046,Route completion,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use stale state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,emit repair posture without mutation,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'prefer visible action'.
SIM-047,Ambiguous progress,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use visible state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,emit repair posture without mutation,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 're-anchor to active_chunk_id'.
SIM-048,Long assistant answer,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,Billy says done vaguely,Treat this as route preservation. Use current state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,hold state and ask one question,reject_without_mutation,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'preserve unless explicit'.
SIM-049,Stale packet,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use explicit state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,hold state and ask one question,advance_one_chunk,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'restore before helping'.
SIM-050,Shortcut/email return,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use committed state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,hold state and ask one question,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'prefer visible action'.
SIM-051,Desk reset,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use high-risk state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,hold state and ask one question,hold_same_chunk,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 're-anchor to active_chunk_id'.
SIM-052,Phone recovery,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use parked state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,emit repair posture without mutation,pending_recovery_hold,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'preserve unless explicit'.
SIM-053,Task timer return,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use fresh state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,hold state and ask one question,advance_one_chunk,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'restore before helping'.
SIM-054,Side question,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,Billy says done vaguely,Treat this as route preservation. Use bounded state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,short route-aware check-in,hold_same_chunk,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'prefer visible action'.
SIM-055,Voice check-in,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,Billy asks unrelated side question,Treat this as an explicit terminal boundary. Use active state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,hold state and ask one question,hold_same_chunk,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 're-anchor to active_chunk_id'.
SIM-056,Route completion,route_id=desk-reset-v0; active_chunk_id=chunk_01; route_status=active,Billy pauses or stops replying,Treat this as route preservation. Use low-risk state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,classify intent as proposal only,reject_without_mutation,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 'preserve unless explicit'.
SIM-057,Ambiguous progress,route_id=desk-reset-v0; active_chunk_id=chunk_02; route_status=active,Billy says yeah I guess,Treat this as an explicit terminal boundary. Use pending state as anchor. Restore before helping. Ask one short route-preserving move if unclear.,hold state and ask one question,park_side_question,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'restore before helping'.
SIM-058,Long assistant answer,route_id=desk-reset-v0; active_chunk_id=chunk_03; route_status=active,assistant mentions wrong chunk,Treat this as route preservation. Use stale state as anchor. Prefer visible action. Ask one short route-preserving move if unclear.,confirm before route mutation,hold_same_chunk,PASS or PASS_WITH_REPAIR,FAIL_TOO_MANY_QUESTIONS,Inject repair_reanchor; tune prompt toward 'prefer visible action'.
SIM-059,Stale packet,route_id=desk-reset-v0; active_chunk_id=chunk_04; route_status=active,route was interrupted by phone action,Treat this as an explicit terminal boundary. Use visible state as anchor. Re-anchor to active_chunk_id. Ask one short route-preserving move if unclear.,confirm before route mutation,complete_chunk_only,PASS or PASS_WITH_REPAIR,FAIL_CADENCE_TOO_FAST,Inject visible_action_gate; tune prompt toward 're-anchor to active_chunk_id'.
SIM-060,Shortcut/email return,route_id=desk-reset-v0; active_chunk_id=chunk_05; route_status=active,Billy says done vaguely,Treat this as route preservation. Use current state as anchor. Preserve unless explicit. Ask one short route-preserving move if unclear.,hold state and ask one question,advance_one_chunk,PASS or PASS_WITH_REPAIR,FAIL_ADVANCED_WITHOUT_PERMISSION,Inject done_vs_move_on; tune prompt toward 'preserve unless explicit'.
