ID,Layer,Boundary Moment,Human / System Event,LLM Failure Risk,Pre-collapse Frame,Steering Phrase,Context Qualifier,Cadence Mode,Confidence Bias,Allowed Move Shape,Disallowed Collapse,Skill Logic to Inject,Reducer / Scorer Target,Pass Signal,Likely Fail Class,Why This Row Matters
PSL-037,Memory,after side question,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as a visibility/safety boundary,ask one short question,current,normal,infer_low_risk,reject_mutation,silent submit,task_return_recovery,no_invented_progress_guard,event rejected or held; no mutation,FAIL_UNSAFE_ACTION,Uses 'ask one short question' to bias the LLM before scorer collapse; converts billy asks unrelated side question into reject_mutation instead of silent submit.
PSL-038,Safety,after ambiguous completion,Billy changes goal mid-route,LLM collapses side branch into route switch,Treat this as an explicit terminal boundary,re-anchor to active_chunk_id,active,repair_mode,infer_low_risk,emit_repair_packet,auto-advance on done,cadence_downshift,terminal_commit_guard,repair required or PASS_WITH_REPAIR emitted,FAIL_REPAIR_DID_NOT_REANCHOR,Uses 're-anchor to active_chunk_id' to bias the LLM before scorer collapse; converts billy changes goal mid-route into emit_repair_packet instead of auto-advance on done.
PSL-039,Runtime Surface,before repair packet,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as low-risk physical progress,classify before committing,committed,slow_boundary,infer_low_risk,park_side_question,silent submit,low_contact_hold,done_vs_move_on_guard,side question captured/answered; route not mutated,FAIL_TOO_MANY_QUESTIONS,Uses 'classify before committing' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into park_side_question instead of silent submit.
PSL-040,Skill Selection,after assistant drift,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as skill-selection,gate before mutation,pending,fast_physical,infer_low_risk,advance_one_chunk,auto-advance on done,visible_action_gate,no_invented_progress_guard,active_chunk_id changes by exactly one legal step,FAIL_CADENCE_TOO_SLOW,Uses 'gate before mutation' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into advance_one_chunk instead of auto-advance on done.
PSL-041,Route State,before committing state,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as a validation problem,prefer visible action,parked,low_contact_hold,infer_low_risk,complete_route_terminal,silent submit,side_question_return,terminal_commit_guard,route_status complete only after terminal_commit,FAIL_LOST_ROUTE,Uses 'prefer visible action' to bias the LLM before scorer collapse; converts billy asks unrelated side question into complete_route_terminal instead of silent submit.
PSL-042,User Intent,after side question,Billy changes goal mid-route,LLM collapses side branch into route switch,"Treat this as recovery, not a new task",downshift to confirmation,visible,normal,infer_low_risk,ask_one_question,auto-advance on done,smallest_legal_move,done_vs_move_on_guard,one bounded question; no state mutation,FAIL_CADENCE_TOO_FAST,Uses 'downshift to confirmation' to bias the LLM before scorer collapse; converts billy changes goal mid-route into ask_one_question instead of auto-advance on done.
PSL-043,Side Branch,after ambiguous completion,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as route preservation,bias toward hold,bounded,repair_mode,infer_low_risk,restore_route_chunk,silent submit,fast_physical_checkin,no_invented_progress_guard,route_id and active_chunk_id re-stated/restored,FAIL_INVENTED_STATE,Uses 'bias toward hold' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into restore_route_chunk instead of silent submit.
PSL-044,Recovery,before repair packet,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as a cadence problem,restore before helping,explicit,slow_boundary,infer_low_risk,hold_same_chunk,auto-advance on done,repair_reanchor,terminal_commit_guard,state_version may update; active_chunk_id unchanged,FAIL_NO_RESPONSE_CONTRACT,Uses 'restore before helping' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into hold_same_chunk instead of auto-advance on done.
PSL-045,Cadence,after assistant drift,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as a parked branch,answer briefly then return,low-risk,fast_physical,infer_low_risk,complete_chunk_only,silent submit,stale_packet_refusal,done_vs_move_on_guard,current chunk marked complete; active_chunk_id unchanged,FAIL_ADVANCED_WITHOUT_PERMISSION,Uses 'answer briefly then return' to bias the LLM before scorer collapse; converts billy asks unrelated side question into complete_chunk_only instead of silent submit.
PSL-046,Authority,before committing state,Billy changes goal mid-route,LLM collapses side branch into route switch,Treat this as state-mutating,choose the smallest legal next move,high-risk,low_contact_hold,infer_low_risk,reject_mutation,auto-advance on done,one_question_only,no_invented_progress_guard,event rejected or held; no mutation,FAIL_UNSAFE_ACTION,Uses 'choose the smallest legal next move' to bias the LLM before scorer collapse; converts billy changes goal mid-route into reject_mutation instead of auto-advance on done.
PSL-047,Memory,after side question,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as a visibility/safety boundary,preserve unless explicit,stale,normal,infer_low_risk,emit_repair_packet,silent submit,explicit_terminal_commit,terminal_commit_guard,repair required or PASS_WITH_REPAIR emitted,FAIL_REPAIR_DID_NOT_REANCHOR,Uses 'preserve unless explicit' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into emit_repair_packet instead of silent submit.
PSL-048,Safety,after ambiguous completion,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as an explicit terminal boundary,do not infer progress,fresh,repair_mode,infer_low_risk,park_side_question,auto-advance on done,done_vs_move_on,done_vs_move_on_guard,side question captured/answered; route not mutated,FAIL_TOO_MANY_QUESTIONS,Uses 'do not infer progress' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into park_side_question instead of auto-advance on done.
PSL-049,Runtime Surface,before repair packet,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as low-risk physical progress,ask one short question,current,slow_boundary,infer_low_risk,advance_one_chunk,silent submit,task_return_recovery,no_invented_progress_guard,active_chunk_id changes by exactly one legal step,FAIL_CADENCE_TOO_SLOW,Uses 'ask one short question' to bias the LLM before scorer collapse; converts billy asks unrelated side question into advance_one_chunk instead of silent submit.
PSL-050,Skill Selection,after assistant drift,Billy changes goal mid-route,LLM collapses side branch into route switch,Treat this as skill-selection,re-anchor to active_chunk_id,active,fast_physical,infer_low_risk,complete_route_terminal,auto-advance on done,cadence_downshift,terminal_commit_guard,route_status complete only after terminal_commit,FAIL_LOST_ROUTE,Uses 're-anchor to active_chunk_id' to bias the LLM before scorer collapse; converts billy changes goal mid-route into complete_route_terminal instead of auto-advance on done.
PSL-051,Route State,before committing state,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as a validation problem,classify before committing,committed,low_contact_hold,infer_low_risk,ask_one_question,silent submit,low_contact_hold,done_vs_move_on_guard,one bounded question; no state mutation,FAIL_CADENCE_TOO_FAST,Uses 'classify before committing' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into ask_one_question instead of silent submit.
PSL-052,User Intent,after side question,Billy wants fast physical guidance,LLM collapses side branch into route switch,"Treat this as recovery, not a new task",gate before mutation,pending,normal,infer_low_risk,restore_route_chunk,auto-advance on done,visible_action_gate,no_invented_progress_guard,route_id and active_chunk_id re-stated/restored,FAIL_INVENTED_STATE,Uses 'gate before mutation' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into restore_route_chunk instead of auto-advance on done.
PSL-053,Side Branch,after ambiguous completion,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as route preservation,prefer visible action,parked,repair_mode,infer_low_risk,hold_same_chunk,silent submit,side_question_return,terminal_commit_guard,state_version may update; active_chunk_id unchanged,FAIL_NO_RESPONSE_CONTRACT,Uses 'prefer visible action' to bias the LLM before scorer collapse; converts billy asks unrelated side question into hold_same_chunk instead of silent submit.
PSL-054,Recovery,before repair packet,Billy changes goal mid-route,LLM collapses side branch into route switch,Treat this as a cadence problem,downshift to confirmation,visible,slow_boundary,infer_low_risk,complete_chunk_only,auto-advance on done,smallest_legal_move,done_vs_move_on_guard,current chunk marked complete; active_chunk_id unchanged,FAIL_ADVANCED_WITHOUT_PERMISSION,Uses 'downshift to confirmation' to bias the LLM before scorer collapse; converts billy changes goal mid-route into complete_chunk_only instead of auto-advance on done.
PSL-055,Cadence,after assistant drift,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as a parked branch,bias toward hold,bounded,fast_physical,infer_low_risk,reject_mutation,silent submit,fast_physical_checkin,no_invented_progress_guard,event rejected or held; no mutation,FAIL_UNSAFE_ACTION,Uses 'bias toward hold' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into reject_mutation instead of silent submit.
PSL-056,Authority,before committing state,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as state-mutating,restore before helping,explicit,low_contact_hold,infer_low_risk,emit_repair_packet,auto-advance on done,repair_reanchor,terminal_commit_guard,repair required or PASS_WITH_REPAIR emitted,FAIL_REPAIR_DID_NOT_REANCHOR,Uses 'restore before helping' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into emit_repair_packet instead of auto-advance on done.
PSL-057,Memory,after side question,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as a visibility/safety boundary,answer briefly then return,low-risk,normal,infer_low_risk,park_side_question,silent submit,stale_packet_refusal,done_vs_move_on_guard,side question captured/answered; route not mutated,FAIL_TOO_MANY_QUESTIONS,Uses 'answer briefly then return' to bias the LLM before scorer collapse; converts billy asks unrelated side question into park_side_question instead of silent submit.
PSL-058,Safety,after ambiguous completion,Billy changes goal mid-route,LLM collapses side branch into route switch,Treat this as an explicit terminal boundary,choose the smallest legal next move,high-risk,repair_mode,infer_low_risk,advance_one_chunk,auto-advance on done,one_question_only,no_invented_progress_guard,active_chunk_id changes by exactly one legal step,FAIL_CADENCE_TOO_SLOW,Uses 'choose the smallest legal next move' to bias the LLM before scorer collapse; converts billy changes goal mid-route into advance_one_chunk instead of auto-advance on done.
PSL-059,Runtime Surface,before repair packet,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as low-risk physical progress,preserve unless explicit,stale,slow_boundary,infer_low_risk,complete_route_terminal,silent submit,explicit_terminal_commit,terminal_commit_guard,route_status complete only after terminal_commit,FAIL_LOST_ROUTE,Uses 'preserve unless explicit' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into complete_route_terminal instead of silent submit.
PSL-060,Skill Selection,after assistant drift,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as skill-selection,do not infer progress,fresh,fast_physical,infer_low_risk,ask_one_question,auto-advance on done,done_vs_move_on,done_vs_move_on_guard,one bounded question; no state mutation,FAIL_CADENCE_TOO_FAST,Uses 'do not infer progress' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into ask_one_question instead of auto-advance on done.
PSL-061,Route State,before committing state,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as a validation problem,ask one short question,current,low_contact_hold,infer_low_risk,restore_route_chunk,silent submit,task_return_recovery,no_invented_progress_guard,route_id and active_chunk_id re-stated/restored,FAIL_INVENTED_STATE,Uses 'ask one short question' to bias the LLM before scorer collapse; converts billy asks unrelated side question into restore_route_chunk instead of silent submit.
PSL-062,User Intent,after side question,Billy changes goal mid-route,LLM collapses side branch into route switch,"Treat this as recovery, not a new task",re-anchor to active_chunk_id,active,normal,infer_low_risk,hold_same_chunk,auto-advance on done,cadence_downshift,terminal_commit_guard,state_version may update; active_chunk_id unchanged,FAIL_NO_RESPONSE_CONTRACT,Uses 're-anchor to active_chunk_id' to bias the LLM before scorer collapse; converts billy changes goal mid-route into hold_same_chunk instead of auto-advance on done.
PSL-063,Side Branch,after ambiguous completion,assistant mentions wrong chunk,LLM treats recovery as new task,Treat this as route preservation,classify before committing,committed,repair_mode,infer_low_risk,complete_chunk_only,silent submit,low_contact_hold,done_vs_move_on_guard,current chunk marked complete; active_chunk_id unchanged,FAIL_ADVANCED_WITHOUT_PERMISSION,Uses 'classify before committing' to bias the LLM before scorer collapse; converts assistant mentions wrong chunk into complete_chunk_only instead of silent submit.
PSL-064,Recovery,before repair packet,Billy wants fast physical guidance,LLM collapses side branch into route switch,Treat this as a cadence problem,gate before mutation,pending,slow_boundary,infer_low_risk,reject_mutation,auto-advance on done,visible_action_gate,no_invented_progress_guard,event rejected or held; no mutation,FAIL_UNSAFE_ACTION,Uses 'gate before mutation' to bias the LLM before scorer collapse; converts billy wants fast physical guidance into reject_mutation instead of auto-advance on done.
PSL-065,Cadence,after assistant drift,Billy asks unrelated side question,LLM treats recovery as new task,Treat this as a parked branch,prefer visible action,parked,fast_physical,infer_low_risk,emit_repair_packet,silent submit,side_question_return,terminal_commit_guard,repair required or PASS_WITH_REPAIR emitted,FAIL_REPAIR_DID_NOT_REANCHOR,Uses 'prefer visible action' to bias the LLM before scorer collapse; converts billy asks unrelated side question into emit_repair_packet instead of silent submit.
