Skill_Block,Purpose,When_to_Inject,Primary_Recovery,Reducer_Guard,Cadence_Mode,Covered_Failure_IDs,Notes
debug_noise_filter,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Filter by ORION/dataset status,Result uses stamp/status not console cleanliness,fast_check_in,F104,Generated from Failure_Map; refine as real trials produce evidence.
device_pass_required,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Separate local/Pages/device pass,Orion runtime pass needs device evidence,slow_decision_boundary,F114,Generated from Failure_Map; refine as real trials produce evidence.
done_enough_policy,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Accept on low-risk; confirm on high-risk,Risk/cadence decides clarify vs accept,contextual_confidence,F057,Generated from Failure_Map; refine as real trials produce evidence.
done_vs_move_on,Separate completion from advancement.,Inject when the current stage matches one of the covered failure rows.,Inject done_vs_move_on; reject advance,done completes; move_on advances exactly one chunk,fast_check_in,F047,Generated from Failure_Map; refine as real trials produce evidence.
event_dedupe,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Dedupe by event_id/state_version,Event can commit once,fast_check_in,F074,Generated from Failure_Map; refine as real trials produce evidence.
event_queue_priority,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Event queue and user-input priority,User-visible action wins over background signal,low_confidence,F073,Generated from Failure_Map; refine as real trials produce evidence.
exact_recovery_token,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Use exact token and secondary cues,Recovery tasks include literal token,low_confidence_recovery,F080,Generated from Failure_Map; refine as real trials produce evidence.
explicit_commit_policy,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Inject explicit policy,Every command has named commit_policy,slow_decision_boundary,F026,Generated from Failure_Map; refine as real trials produce evidence.
extension_enabled_check,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Install-state checklist/fallback,No test without build stamp,fast_check_in,F100,Generated from Failure_Map; refine as real trials produce evidence.
external_signal_dedupe,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Dedupe external signals,External event commits once,fast_check_in,F095,Generated from Failure_Map; refine as real trials produce evidence.
external_signal_min_state,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Carry minimal IDs or request lookup,External signals include route/session when possible,low_confidence_recovery,F098,Generated from Failure_Map; refine as real trials produce evidence.
failure_map_learning_loop,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Post-run failure row update workflow,Every new live failure becomes row/test candidate,fast_check_in,F157,Generated from Failure_Map; refine as real trials produce evidence.
failure_map_lookup,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Predict failure from map before packet,Packet builder consults failure taxonomy,contextual_confidence,F135,Generated from Failure_Map; refine as real trials produce evidence.
failure_map_to_fixture,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Map every row to test/recovery/guard,Every failure maps to mechanism and test,fast_check_in,F116,Generated from Failure_Map; refine as real trials produce evidence.
fast_physical_prompt,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Inject fast physical style,Fast mode is terse and action-oriented,high_confidence_fast,F051,Generated from Failure_Map; refine as real trials produce evidence.
footer_is_proposal,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Validate independently,"Footer is proposal, not authority",low_confidence,F067,Generated from Failure_Map; refine as real trials produce evidence.
footer_repair,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Soft parse or ask footer repair in test mode,No unstructured commit unless manual override,low_confidence,F046,Generated from Failure_Map; refine as real trials produce evidence.
foreground_live_watcher,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Treat foreground as live-only; rescan on focus,No background reliability assumption,low_confidence_recovery,F102,Generated from Failure_Map; refine as real trials produce evidence.
foreground_liveness_probe,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Heartbeat/status stamp and reload-safe recovery,Long-session tests log liveness without state mutation,low_confidence_recovery,F108,Generated from Failure_Map; refine as real trials produce evidence.
foreground_recovery_scan,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Foreground scan recent messages / Shortcut fallback,On resume scan recent DOM for token,low_confidence_recovery,F083,Generated from Failure_Map; refine as real trials produce evidence.
freshness_guard,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Refresh/re-anchor before send,Old packet requires refresh/recovery,low_confidence,F030,Generated from Failure_Map; refine as real trials produce evidence.
friction_score,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Add friction score alongside correctness,Workflow pass includes burden/friction metric,contextual_confidence,F153,Generated from Failure_Map; refine as real trials produce evidence.
friction_sensitive_check_in,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Switch to humane micro-step or pause,Friction lowers cadence and shrinks next action,low_confidence,F008,Generated from Failure_Map; refine as real trials produce evidence.
friction_to_microstep,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Acknowledge and shrink/pause,Frustration lowers cadence,low_confidence,F061,Generated from Failure_Map; refine as real trials produce evidence.
generic_ack_guard,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Clarify if prior prompt had multiple choices,Generic ack commits only after single-option prompt,low_confidence,F065,Generated from Failure_Map; refine as real trials produce evidence.
humane_repair_copy,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Humane repair copy,Repair states facts and tiny next move,low_confidence_recovery,F125,Generated from Failure_Map; refine as real trials produce evidence.
idempotent_insert,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Replace by command_id; do not append,Same command_id cannot duplicate,fast_check_in,F037,Generated from Failure_Map; refine as real trials produce evidence.
input_lifecycle_required,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Dispatch beforeinput/input/change,Insert verifies composer match and send state,fast_check_in,F035,Generated from Failure_Map; refine as real trials produce evidence.
inspector_context_check,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Context checklist; page-visible stamp,No test proceeds without correct URL/stamp,fast_check_in,F044,Generated from Failure_Map; refine as real trials produce evidence.
intent_synonym_map,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Add phrase-class examples but commit via reducer rules,"Intent mapping feeds proposal, reducer still guards",contextual_confidence,F139,Generated from Failure_Map; refine as real trials produce evidence.
intent_vocab_lock,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Map to supported intent or explicit route mutation,Unsupported intents rejected/mapped by rule,low_confidence,F017,Generated from Failure_Map; refine as real trials produce evidence.
invariant_scoring_only,Reusable rule block for a specific failure boundary.,Inject when the current stage matches one of the covered failure rows.,Score invariants not prose,Exact prose never primary pass condition,fast_check_in,F045,Generated from Failure_Map; refine as real trials produce evidence.
