Failure_ID,Layer,Stage,Three_Body_Dynamics,Failure_Event,Trigger_or_Surface,Bad_Outcome,Early_Detection_Signals,Recovery_Mechanism,Skill_Logic_to_Inject,Reducer_Guard_or_State_Rule,Confidence_Cadence_Mode,Suggested_Test,Severity,Likelihood,Detection_Confidence,Automation_Level,Notes
F011,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Loop without exit,Mermaid 'repeat until done' without max,Infinite repair/check-in loop,Loop edge without exit_guard/max_attempts,Add max loop count and hold terminal,loop_exit_guard,Every loop has exit_guard + max_attempts,slow_decision_boundary,Compile loop; assert terminal/hold,High,Medium,High,Automatable,
F012,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Terminal state missing,Diagram has tasks but no final node,Workflow can never pass,No terminal_state/final_goal,Require terminal before fixture generation,terminal_state_required,No fixture without final_state,slow_decision_boundary,Compile no-terminal diagram; assert rejection,High,Medium,High,Automatable,
F013,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Parallel branches become simultaneous active chunks,Multiple outgoing paths from start,Harness tracks two active chunks and loses route,More than one active_chunk candidate,Choose one branch; park alternatives,single_active_chunk,Only one active_chunk live unless explicit parallel mode,low_confidence,Compile parallel diagram; assert branch choice,High,Medium,High,Automatable,
F014,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Vague node labels,Nodes named 'fix stuff' or 'deal with it',Assistant cannot restore concrete chunk,No verb/object/completion_condition,Rewrite to verb-object chunks,concrete_chunk_labels,active_chunk requires verb+object+finish condition,slow_decision_boundary,Vague nodes; assert rewrite,Medium,High,High,Automatable,
F015,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Timing annotations not compiled,Mermaid says 'soon/later' in notes,Check-ins at wrong time,No cadence policy from timing note,Set default cadence or clarify,timing_annotation_parser,Vague timing becomes default cadence or question,slow_decision_boundary,Compile soon/later; assert cadence,Medium,High,Medium,Automatable,
F016,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Runtime metadata leaks into skill body,YAML/tags/metrics enter packet,LLM follows retrieval metadata instead of behavior,Packet includes tags/search scores/nearby skills,Strip metadata from runtime packet,metadata_runtime_separation,Runtime body separate from search metadata,slow_decision_boundary,Build packet from skill file; assert metadata stripped,High,Medium,High,Automatable,
F017,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Unsupported intent invented,Compiler creates 'maybe_later' or 'skipish',Reducer cannot score or commits illegal state,Intent not in allowed_intents vocabulary,Map to supported intent or explicit route mutation,intent_vocab_lock,Unsupported intents rejected/mapped by rule,low_confidence,Compile messy goal; assert allowed intents only,High,Medium,High,Automatable,
F018,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Nuance collapsed too early,Conditional reply like 'done unless Mom needs it',System commits brittle binary state,Conditional language but no guard/subchunk,"Create guard, subchunk, or parked condition",nuance_to_guard,Nuance becomes guard/subchunk/parked note,slow_decision_boundary,Compile conditional goal; assert guard not bloat,Medium,Medium,Medium,Design-time,
F019,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Happy-path-only fixture,Workflow has start/done/move_on only,System passes but fails real drift,No side_question/stuck/pause/repair cases,Auto-expand boundary cases,boundary_case_expander,Every workflow has drift and repair tests,slow_decision_boundary,Generate fixture; assert boundary coverage,High,High,High,Automatable,
F020,Compiler,Mermaid → State Machine,Billy need ↔ LLM compiler ↔ Skill/state machine,Mermaid and packet disagree,Diagram says one active chunk; packet says another,LLM receives conflicting board state,State fields differ across artifacts,Single source compile pipeline; checksum state,artifact_consistency_check,Packet generated from fixture/current state only,low_confidence,Edit diagram after packet; assert mismatch caught,High,Medium,High,Automatable,
F021,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,Packet too long,Full project context pasted into active command,Assistant ignores footer and answers generically,Token-heavy packet; no command_id in response,Compress to active state + legal moves,packet_minimizer,Command packet includes only next-turn state,fast_check_in,Send long vs minimized packet; compare footer compliance,High,High,Medium,Semi-manual,
F022,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,Missing state_version,Command lacks monotonic version,Stale response can commit into newer state,No state_version in packet/footer,Reject response without current version,versioned_commands,Reducer commits only matching state_version,slow_decision_boundary,Replay stale response; assert rejection,Critical,Medium,High,Automatable,
F023,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,command_id mismatch,Assistant copies old footer ID,Response attributed to wrong state,Footer command_id != current command_id,Ignore footer and insert repair if needed,command_id_guard,No commit from mismatched command_id,low_confidence,Old footer in new turn; assert no commit,High,Medium,High,Automatable,
F024,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,active_chunk omitted,Route named but current chunk absent,Assistant talks about whole project,Response lacks current chunk,Repair with active_chunk and completion_condition,active_chunk_required,No check-in command without active_chunk,fast_check_in,Route-only packet; assert repair generated,High,Medium,High,Automatable,
F025,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,allowed_intents too broad,Every possible intent listed during simple chunk,User/assistant branches explode,Response asks many options; footer ambiguous,Narrow intents by phase,contextual_intents,Allowed intents depend on phase/chunk,fast_check_in,Broad vs narrow intents; score friction,Medium,High,Medium,Semi-manual,
F026,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,commit_policy vague,Packet says 'help move forward',Assistant advances or invents done state,Response names next chunk without legal input,Inject explicit policy,explicit_commit_policy,Every command has named commit_policy,slow_decision_boundary,Omit policy; score premature advance,High,High,Medium,Semi-manual,
F027,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,Footer optional in test lane,Packet says include footer if possible,Observer cannot score response,No TTD_RESPONSE_V1 marker,Require footer in test mode; repair otherwise,required_footer_test_mode,Test lanes require footer or repair,slow_decision_boundary,Required footer compliance test,Medium,High,High,Semi-manual,
F028,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,Chat history trusted as state,Packet says 'as above',LLM resurrects stale or invented progress,Response claims unlisted progress,Add only-listed-state-is-committed line,packet_state_authority,Reducer ignores claims not in state packet/store,low_confidence,Ask model to infer old state; assert hold,Critical,High,Medium,Semi-manual,
F029,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,Multiple packets in composer,Insert twice without clearing,Chat receives conflicting states,Two TTD_COMMAND_V1 blocks in composer,Clear/replace before insert; idempotency,single_packet_in_composer,Only one active protocol block allowed,fast_check_in,Double insert; assert one block,High,Medium,High,Automatable,
F030,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,Stale packet after sleep,Phone sleeps with packet in composer,User sends outdated command,Packet timestamp older than freshness window,Refresh/re-anchor before send,freshness_guard,Old packet requires refresh/recovery,low_confidence,Age packet; assert stale guard,High,Medium,Medium,Semi-manual,
F031,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,Packet leaks sensitive context,Packet includes extra personal/project notes,Visible chat disclosure beyond need,More context than next transition needs,Minimize/redact to current state,packet_minimal_disclosure,Packets carry least necessary state,low_confidence,Generate from rich context; assert redaction,Critical,Medium,Medium,Automatable,
F032,Protocol Packet,Packet → ChatGPT,Packet memory ↔ LLM parser ↔ Reducer,Packet lacks cadence mode,No fast/slow/recovery mode indicated,LLM uses wrong friction level,No cadence_mode/confidence_bias fields,Add cadence/confidence governor,cadence_required,Every command names cadence mode,contextual_confidence,Build packet with/without cadence; compare behavior,Medium,High,Medium,Automatable,
F033,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Composer selector changes,ChatGPT changes #prompt-textarea/data-testid,Insertion silently fails,getComposer null; no page status,Selector cascade and visible fail status,composer_selector_cascade,No silent failure; dataset insert_status,low_confidence,Mock missing selector; assert status,High,Medium,High,Automatable,
F034,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,contenteditable not handled,Composer is div[contenteditable],Text visible but app state unaware,send disabled after visible text,Target-kind-specific insertion path,composer_target_kind_switch,Handle textarea/input/contenteditable,fast_check_in,Mock all composer kinds,High,Medium,High,Automatable,
F035,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,React lifecycle not dispatched,Native value set only,Send disabled or empty submit,Text mismatch with active send state,Dispatch beforeinput/input/change,input_lifecycle_required,Insert verifies composer match and send state,fast_check_in,Insert without events; expect fail,High,High,High,Automatable,
F036,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Submit too early,Auto-click immediately after insert,Blank/partial packet submitted,Click before text match verified,Wait for text match; submit gated,submit_after_verified_insert,No submit before verified insert,low_confidence,Delayed update; assert no early submit,Critical,Medium,High,Automatable,
F037,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Duplicate insert,Trigger runs twice,Repeated command confuses model/reducer,Same command_id repeated,Replace by command_id; do not append,idempotent_insert,Same command_id cannot duplicate,fast_check_in,Double trigger; assert single packet,High,High,High,Automatable,
F038,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Token autocorrect/smart punctuation,iOS/keyboard transforms tokens,Protocol marker invalid,TTD_COMMAND_V1 or quotes changed,Verify exact packet text after insert,token_integrity_check,Protocol token must match exactly,fast_check_in,Insert token-rich packet; assert exact match,High,Low,High,Automatable,
F039,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Reload loses pending packet,Refresh before send,User thinks command is active but gone,pending_command exists; composer empty,Reconstruct from state or mark lost,pending_packet_recovery,Pending commands tracked outside composer,low_confidence,Reload after insert; assert recovery,High,Medium,Medium,Semi-manual,
F040,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Content script world hidden,window globals undefined in page console,False test failure,Console log exists; window globals absent,Use DOM dataset stamp,page_visible_dataset_stamp,Build status readable via documentElement.dataset,fast_check_in,Verify dataset after update,Medium,High,High,Automatable,
F041,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Send selector changes,aria-label/data-testid changes,Submit fails or wrong button clicked,getSendButton null/wrong element,Multi-selector + nearest form fallback; gated click,send_selector_map,No click unless button enabled/expected,low_confidence,Mock button label; assert no wrong click,Critical,Medium,Medium,Automatable,
F042,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Insert during streaming,Watcher fires before assistant response done,Focus/UI conflict; route confusion,Stop button visible or latest turn incomplete,Wait for response_done state,streaming_insert_gate,No protocol insert during active generation unless user-triggered,low_confidence,Trigger while streaming; assert hold,High,Medium,Medium,Semi-manual,
F043,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Composer occupied by user text,Recovery tries to insert over draft,User loses unsent input,Composer non-empty and not protocol-owned,Hold pending recovery; ask or show status,composer_occupied_guard,Never overwrite non-protocol composer text,low_confidence,Draft text + signal; assert no overwrite,Critical,Medium,High,Automatable,
F044,Insertion/DOM,Browser UI Actuation,Orion UI ↔ ChatGPT DOM ↔ Harness,Wrong frame inspected,Web Inspector attached to wrong context,Undefined checks despite running extension,No ORION TTD log/stamp in context,Context checklist; page-visible stamp,inspector_context_check,No test proceeds without correct URL/stamp,fast_check_in,Attach wrong frame; assert diagnosis,Low,Medium,High,Manual,
F045,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Exact output expectation,Test checks literal assistant text,Good runs fail; prompts overfit,No invariant violation but wording differs,Score invariants not prose,invariant_scoring_only,Exact prose never primary pass condition,fast_check_in,Paraphrase responses; assert same score,Medium,High,High,Automatable,
F046,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Footer absent,Assistant responds naturally but no TTD_RESPONSE_V1,Reducer cannot commit mechanically,No footer marker; probable intent in prose,Soft parse or ask footer repair in test mode,footer_repair,No unstructured commit unless manual override,low_confidence,Omit footer; assert repair path,Medium,High,Medium,Semi-manual,
F047,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Advances on done,Billy says done,Active chunk moves without move_on,Response names next chunk as active,Inject done_vs_move_on; reject advance,done_vs_move_on,done completes; move_on advances exactly one chunk,fast_check_in,Desk reset done after clear trash,Critical,High,High,Semi-manual,
F048,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Side question loses route,Billy asks unrelated/meta question,Chat becomes generic Q&A,Response lacks route_id/active_chunk after answer,Answer briefly then restore route,side_question_return,Side answer ends with active_chunk or allowed reply,fast_check_in,Ask side question mid-route,High,High,Medium,Semi-manual,
F049,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Invented completion,Assistant claims progress not signaled,Reducer may commit false state,Unlisted completion claim in response,Reject and repair with known state,no_invented_progress,Only user/verified signal completes chunks,low_confidence,Tempt model with implied progress,Critical,Medium,Medium,Semi-manual,
F050,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Too many questions,Assistant resolves every missing variable,User overload; route stalls,More than one question/request,One-question-only; park extras,one_question_only,At most one active question per turn,fast_check_in,Ambiguous state; assert one question,Medium,High,Medium,Semi-manual,
F051,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Overexplains in fast mode,Physical cleanup prompt gets long answer,Billy stops moving,Response exceeds length threshold,Inject fast physical style,fast_physical_prompt,Fast mode is terse and action-oriented,high_confidence_fast,Fast mode; assert short check-in,Medium,High,Medium,Semi-manual,
F052,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Protocol treated as weird instructions,Assistant refuses or meta-explains packet,Route halts,Response discusses format instead of task,Wrap packet as normal user-facing route command,natural_language_protocol_wrapper,Protocol remains visible/readable user intent,low_confidence,Technical packet; assert plain fallback,Medium,Medium,Low,Semi-manual,
F053,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Chunk labels drift,Assistant renames canonical chunk,Reducer mismatches state,Footer has noncanonical label,Use stable chunk_id plus display label,stable_chunk_ids,Reducer matches IDs not prose labels,fast_check_in,Paraphrased chunk name; assert ID match,Medium,High,High,Automatable,
F054,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Task token as new request,Task return text appears alone,Chat starts new topic instead of route recovery,Response lacks route_id/active_chunk,Wrap as signal-only recovery packet,task_return_recovery,Task return never directly mutates state,low_confidence_recovery,Task token appears; assert recovery framing,High,Medium,Medium,Semi-manual,
F055,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Artificial confidence too high,Fast mode at decision boundary,Assistant collapses nuance too early,High cadence + high-risk phase,Downshift confidence; ask confirm,cadence_downshift,Risk can override requested fast mode,low_confidence,Fast mode on project choice; assert downshift,Critical,Medium,Medium,Semi-manual,
F056,LLM Response,Assistant Turn,User ↔ LLM ↔ Reducer,Artificial confidence too low,Slow mode on simple physical task,System stalls with needless confirmation,Repeated confirm prompts on low-risk step,Upshift confidence for low-risk chunks,cadence_upshift,Low-risk physical chunk can infer likely intent,high_confidence_fast,Slow cleanup route; assert upshift,Medium,High,Medium,Semi-manual,
F057,User Response,Human Loop,User ↔ LLM ↔ Reducer,done means done enough,Billy says 'basically done',Either blocked or committed too strongly,Completion hedge words,Accept on low-risk; confirm on high-risk,done_enough_policy,Risk/cadence decides clarify vs accept,contextual_confidence,Done-ish reply at high/low risk boundary,High,High,Medium,Semi-manual,
F058,User Response,Human Loop,User ↔ LLM ↔ Reducer,next before completion,Billy says next while chunk incomplete,Necessary work skipped,move_on request without complete/skipped/deferred status,Ask skip reason or mark skipped explicitly,skip_reason_gate,Incomplete chunk cannot silently move_on,low_confidence,Say next without done; assert skip gate,High,Medium,Medium,Semi-manual,
F059,User Response,Human Loop,User ↔ LLM ↔ Reducer,new idea sidequest,Billy introduces new idea mid-route,Original route lost,New topic terms without switch intent,Park sidequest; restore route,sidequest_parking_lot,Side quests cannot replace active route without switch,fast_check_in,New idea mid-route; assert park/return,High,High,Medium,Semi-manual,
F060,User Response,Human Loop,User ↔ LLM ↔ Reducer,silence interpreted wrongly,No reply after check-in,System nags or mutates state,Elapsed time without user signal,Low-contact hold or timed recovery,silence_hold,Silence never completes/advances state,low_confidence_recovery,No reply; assert hold state,Medium,High,Medium,Semi-manual,
F061,User Response,Human Loop,User ↔ LLM ↔ Reducer,frustration becomes debate,Billy expresses annoyance,Assistant defends process; avoidance grows,Negative sentiment + explanation tone,Acknowledge and shrink/pause,friction_to_microstep,Frustration lowers cadence,low_confidence,Frustration input; assert humane micro-step,High,Medium,Low,Semi-manual,
F062,User Response,Human Loop,User ↔ LLM ↔ Reducer,unrelated fact question,Billy asks factual question mid-route,Chat becomes generic Q&A,Response does not return to active_chunk,Answer briefly then return to route,answer_then_return,Side answer ends with active route restoration,fast_check_in,Ask unrelated fact mid-route,Medium,High,Medium,Semi-manual,
F063,User Response,Human Loop,User ↔ LLM ↔ Reducer,legitimate route switch blocked,User really needs to switch/cancel,Harness feels controlling,Explicit switch/cancel/pause words,Open switch/pause protocol,user_override_switch,User override is legal explicit transition,low_confidence,Request switch; assert old route paused,High,Medium,Medium,Semi-manual,
F064,User Response,Human Loop,User ↔ LLM ↔ Reducer,STT corrupts intent,Voice transcription flips word,Wrong transition commits,Low-quality transcript or contradiction,Ask one confirmation / hold,stt_uncertainty_guard,Low-confidence voice cannot advance,low_confidence,Corrupted transcript; assert no commit,Critical,Medium,Low,Semi-manual,
F065,User Response,Human Loop,User ↔ LLM ↔ Reducer,generic ack after multi-option prompt,Billy says 'yeah',Wrong option committed,Prior assistant turn had >1 option,Clarify if prior prompt had multiple choices,generic_ack_guard,Generic ack commits only after single-option prompt,low_confidence,Multi-option + yeah; assert clarify,High,High,Medium,Automatable,
F066,User Response,Human Loop,User ↔ LLM ↔ Reducer,physical departure,Billy leaves phone/chat open,System waits forever or stale route,Long idle/no input,Set hold/recovery phase,away_state_policy,"Long silence means hold/recovery, not failure",low_confidence_recovery,Long idle; assert hold packet,Medium,High,Medium,Semi-manual,
F067,Reducer,State Transition,User ↔ LLM ↔ Reducer,Footer trusted blindly,LLM footer says move_on illegally,Bad transition commits,Footer contradicts user event/guard,Validate independently,footer_is_proposal,"Footer is proposal, not authority",low_confidence,Incorrect footer; assert reject,Critical,Medium,High,Automatable,
F068,Reducer,State Transition,User ↔ LLM ↔ Reducer,State version ignored,Old event overwrites new state,Active chunk regresses,event.state_version < current,Reject stale or merge explicitly,stale_event_reject,Only current/mergeable events commit,low_confidence,Replay old event; assert no commit,Critical,Medium,High,Automatable,
F069,Reducer,State Transition,User ↔ LLM ↔ Reducer,Unknown transition defaults to commit,Unsupported intent hits default path,Route corruption,Transition not in guard table,Closed transition table,closed_transition_table,Unknown transitions reject to repair/hold,low_confidence,Fuzz unsupported intents,Critical,Medium,High,Automatable,
F070,Reducer,State Transition,User ↔ LLM ↔ Reducer,Repair loop infinite,Same drift repaired repeatedly,User sees repeated correction,repair_count exceeds threshold,Low-contact hold after cap,repair_attempt_cap,Max repair attempts before hold,low_confidence_recovery,Force repeated drift; assert cap,High,Medium,High,Automatable,
F071,Reducer,State Transition,User ↔ LLM ↔ Reducer,Ambiguity counter missing,Clarification repeats,Friction and no progress,Multiple clarify events no counter,Track ambiguity_count,ambiguity_counter,Ask once; then hold or safe default by mode,low_confidence,Repeated ambiguous replies,Medium,High,High,Automatable,
F072,Reducer,State Transition,User ↔ LLM ↔ Reducer,State stored only in DOM,Refresh/tab close loses committed route,Cannot recover active chunk,No local state snapshot,Minimal state snapshot + packet recovery,minimal_state_snapshot,State store carries route/session/chunk/version only,low_confidence,Refresh active session; assert recovery,High,Medium,Medium,Semi-manual,
F073,Reducer,State Transition,User ↔ LLM ↔ Reducer,Task/user race,Task returns while Billy replies,Recovery overwrites fresh input,Events in same time window; composer occupied,Event queue and user-input priority,event_queue_priority,User-visible action wins over background signal,low_confidence,Task during typing; assert no overwrite,High,Medium,Low,Semi-manual,
F074,Reducer,State Transition,User ↔ LLM ↔ Reducer,Duplicate event commits twice,Same signal emitted twice,Chunk index jumps,Same event_id repeated,Dedupe by event_id/state_version,event_dedupe,Event can commit once,fast_check_in,Duplicate move_on event,Critical,Medium,High,Automatable,
F075,Reducer,State Transition,User ↔ LLM ↔ Reducer,Partial progress unsupported,Billy says half done,Binary state fails,partial progress language,Create partial_progress or re_chunk,partial_progress_policy,Partial legal but not complete unless confirmed,contextual_confidence,Half-done reply; assert partial path,Medium,High,Medium,Semi-manual,
F076,Reducer,State Transition,User ↔ LLM ↔ Reducer,Terminal not set,Final chunk complete but route active,Zombie check-ins continue,chunk_index final but phase active,Commit route_complete,terminal_commit,Final legal completion stops check-ins,fast_check_in,Complete route; assert terminal,Medium,Medium,High,Automatable,
F077,Reducer,State Transition,User ↔ LLM ↔ Reducer,Confidence not tied to risk,Cadence mode ignored by reducer,Unsafe fast transitions or stalled easy tasks,Mode doesn't affect guard thresholds,Risk/cadence matrix,cadence_risk_matrix,Risk and cadence influence clarify/commit threshold,contextual_confidence,Risk matrix tests,High,Medium,Medium,Automatable,
F078,Reducer,State Transition,User ↔ LLM ↔ Reducer,Skill block regression,New skill fixes one case but breaks another,Latent failure shifts location,Failure count worsens in adjacent fixtures,Run regression suite per skill change,skill_regression_suite,Every skill change covers old and new cases,contextual_confidence,Add rule; run boundary regression,High,Medium,Medium,Automatable,
F079,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Task returns elsewhere,Task result not in active chat,Watcher never sees signal,Expected token absent in active DOM,Email/Shortcut/manual fallback,task_delivery_fallback,Task DOM not sole recovery path,low_confidence_recovery,Schedule task; check active chat vs other surfaces,High,Medium,Low,Semi-manual,
F080,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Token altered,Task prompt not exact; model paraphrases,Watcher misses recovery,No literal TTD_TIMER_RETURN_V1,Use exact token and secondary cues,exact_recovery_token,Recovery tasks include literal token,low_confidence_recovery,Task token variants,High,Medium,Medium,Semi-manual,
F081,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,False trigger on normal response,Assistant count increases normally,Wrong recovery packet inserted,Count change without token,Require token + count/message delta,token_plus_count_trigger,Assistant count alone cannot trigger,fast_check_in,Normal response; assert no task recovery,High,High,High,Automatable,
F082,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Paused marker false positive,Paused text appears unrelated,False recovery,Paused without token/title match,Use Paused as context only,paused_marker_nonprimary,Primary trigger requires token,fast_check_in,Paused-only DOM; assert no recovery,Medium,Medium,Medium,Automatable,
F083,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Signal during lock,Task returns while iOS suspends extension,Missed live signal,No foreground log at event time,Foreground scan recent messages / Shortcut fallback,foreground_recovery_scan,On resume scan recent DOM for token,low_confidence_recovery,Lock during task; verify resume scan,High,High,Low,Semi-manual,
F084,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Repeated task duplicate,Recurring timer re-inserts same token,Recovery spam,Same token/timestamp/title pattern,Dedupe task instance/time window,task_instance_dedupe,Same timer event cannot trigger twice,low_confidence_recovery,Repeat token twice,Medium,Medium,Medium,Automatable,
F085,Task/Signal,Recovery Signal,Signal source ↔ Watcher ↔ Reducer,Selector drift,Task DOM class changes,Watcher misses visible token,Selector fails but text contains token,Scoped recent-text heuristic plus logs,signal_query_fallback,Fallback to scoped text scan,low_confidence_recovery,Remove selector class; assert detection,High,Medium,Medium,Automatable,
