standard_id,name,question_it_answers,grants_deference_to,conditions,reducer_boundary,packet_language,testable_signal,non_goal
STD-015,One-question recovery,What standard controls one-question recovery?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply one-question recovery only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-016,Smallest legal move,What standard controls smallest legal move?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply smallest legal move only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-017,Repair before restart,What standard controls repair before restart?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply repair before restart only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-018,Explicit route switch,What standard controls explicit route switch?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply explicit route switch only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-019,Terminal commit strictness,What standard controls terminal commit strictness?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply terminal commit strictness only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-020,Visible packet preference,What standard controls visible packet preference?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply visible packet preference only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-021,Signal is not state,What standard controls signal is not state?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply signal is not state only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-022,Judge deference,What standard controls judge deference?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply judge deference only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-023,Script Judge examination,What standard controls script judge examination?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply script judge examination only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-024,LLM deference is not sovereignty,What standard controls llm deference is not sovereignty?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply llm deference is not sovereignty only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
STD-025,Graceful failure,What standard controls graceful failure?,LLM interpretation under narrow legal frame,Only when evidence at the boundary requires interpretation,Reducer remains executable authority,Apply graceful failure only as interpretation guidance.,Reducer audit shows no silent mutation,Do not override committed reducer state
