case_id,domain,situation_class,conflict_pattern,llm_deserves_weight_when,deterministic_layer_risk,legal_standard,allowed_llm_win,forbidden_llm_win,reducer_requirement,expected_verdict_bias,related_failure,skill_language_seed,test_seed,metric_tag
LLMDEF-011,semantic_intent,correction_after_prompt,messy user words contain clear intent even without exact token; user amends a running instruction,LLM interpretation has fresher semantic context than rigid parser for correction_after_prompt,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",safety_hold_over_momentum,prefer HOLD / REJECT over progress when safety or privacy is uncertain,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,HOLD,FAIL_RESTARTED_INSTEAD_OF_AMENDED,This is a state-mutating or safety-sensitive boundary. Hold before advancing.,"Given user amends a running instruction, verify LLM may prefer HOLD / REJECT over progress when safety or privacy is uncertain, but reducer prevents illegal mutation.",semantic_intent:safety_hold_over_momentum
LLMDEF-012,semantic_intent,correction_after_prompt,messy user words contain clear intent even without exact token; user amends a running instruction,LLM interpretation has fresher semantic context than rigid parser for correction_after_prompt,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",human_witness_escalation,ask Billy one direct question while preserving state,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,FAIL_GRACEFULLY,FAIL_RESTARTED_INSTEAD_OF_AMENDED,"If the system cannot lawfully know, preserve state and ask Billy one direct question.","Given user amends a running instruction, verify LLM may ask Billy one direct question while preserving state, but reducer prevents illegal mutation.",semantic_intent:human_witness_escalation
LLMDEF-013,semantic_intent,stale_log_conflict,messy user words contain clear intent even without exact token; logs or packet context lag behind current words,LLM interpretation has fresher semantic context than rigid parser for stale_log_conflict,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",semantic_intent_over_literal_token,classify likely intent or recommend HOLD when exact token is absent,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,COMMIT_OR_HOLD,FAIL_STALE_EVIDENCE_TRUSTED,"Treat semantic intent as evidence, not state. Preserve the active chunk unless a legal event is validated.","Given logs or packet context lag behind current words, verify LLM may classify likely intent or recommend HOLD when exact token is absent, but reducer prevents illegal mutation.",semantic_intent:semantic_intent_over_literal_token
LLMDEF-014,semantic_intent,stale_log_conflict,messy user words contain clear intent even without exact token; logs or packet context lag behind current words,LLM interpretation has fresher semantic context than rigid parser for stale_log_conflict,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",current_evidence_over_stale_log,flag stale evidence and ask for re-anchor or reject stale claim,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,REANCHOR_OR_REJECT_STALE,FAIL_STALE_EVIDENCE_TRUSTED,Treat stale logs as evidence with expiration. Re-anchor before trusting them.,"Given logs or packet context lag behind current words, verify LLM may flag stale evidence and ask for re-anchor or reject stale claim, but reducer prevents illegal mutation.",semantic_intent:current_evidence_over_stale_log
LLMDEF-015,semantic_intent,stale_log_conflict,messy user words contain clear intent even without exact token; logs or packet context lag behind current words,LLM interpretation has fresher semantic context than rigid parser for stale_log_conflict,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",safety_hold_over_momentum,prefer HOLD / REJECT over progress when safety or privacy is uncertain,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,HOLD,FAIL_STALE_EVIDENCE_TRUSTED,This is a state-mutating or safety-sensitive boundary. Hold before advancing.,"Given logs or packet context lag behind current words, verify LLM may prefer HOLD / REJECT over progress when safety or privacy is uncertain, but reducer prevents illegal mutation.",semantic_intent:safety_hold_over_momentum
LLMDEF-016,semantic_intent,stale_log_conflict,messy user words contain clear intent even without exact token; logs or packet context lag behind current words,LLM interpretation has fresher semantic context than rigid parser for stale_log_conflict,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",human_witness_escalation,ask Billy one direct question while preserving state,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,FAIL_GRACEFULLY,FAIL_STALE_EVIDENCE_TRUSTED,"If the system cannot lawfully know, preserve state and ask Billy one direct question.","Given logs or packet context lag behind current words, verify LLM may ask Billy one direct question while preserving state, but reducer prevents illegal mutation.",semantic_intent:human_witness_escalation
LLMDEF-017,semantic_intent,risk_escalation,messy user words contain clear intent even without exact token; blind continuation could create unsafe or unwanted action,LLM interpretation has fresher semantic context than rigid parser for risk_escalation,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",semantic_intent_over_literal_token,classify likely intent or recommend HOLD when exact token is absent,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,COMMIT_OR_HOLD,FAIL_UNSAFE_ACTION,"Treat semantic intent as evidence, not state. Preserve the active chunk unless a legal event is validated.","Given blind continuation could create unsafe or unwanted action, verify LLM may classify likely intent or recommend HOLD when exact token is absent, but reducer prevents illegal mutation.",semantic_intent:semantic_intent_over_literal_token
LLMDEF-018,semantic_intent,risk_escalation,messy user words contain clear intent even without exact token; blind continuation could create unsafe or unwanted action,LLM interpretation has fresher semantic context than rigid parser for risk_escalation,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",current_evidence_over_stale_log,flag stale evidence and ask for re-anchor or reject stale claim,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,REANCHOR_OR_REJECT_STALE,FAIL_UNSAFE_ACTION,Treat stale logs as evidence with expiration. Re-anchor before trusting them.,"Given blind continuation could create unsafe or unwanted action, verify LLM may flag stale evidence and ask for re-anchor or reject stale claim, but reducer prevents illegal mutation.",semantic_intent:current_evidence_over_stale_log
LLMDEF-019,semantic_intent,risk_escalation,messy user words contain clear intent even without exact token; blind continuation could create unsafe or unwanted action,LLM interpretation has fresher semantic context than rigid parser for risk_escalation,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",safety_hold_over_momentum,prefer HOLD / REJECT over progress when safety or privacy is uncertain,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,HOLD,FAIL_UNSAFE_ACTION,This is a state-mutating or safety-sensitive boundary. Hold before advancing.,"Given blind continuation could create unsafe or unwanted action, verify LLM may prefer HOLD / REJECT over progress when safety or privacy is uncertain, but reducer prevents illegal mutation.",semantic_intent:safety_hold_over_momentum
LLMDEF-020,semantic_intent,risk_escalation,messy user words contain clear intent even without exact token; blind continuation could create unsafe or unwanted action,LLM interpretation has fresher semantic context than rigid parser for risk_escalation,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",human_witness_escalation,ask Billy one direct question while preserving state,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,FAIL_GRACEFULLY,FAIL_UNSAFE_ACTION,"If the system cannot lawfully know, preserve state and ask Billy one direct question.","Given blind continuation could create unsafe or unwanted action, verify LLM may ask Billy one direct question while preserving state, but reducer prevents illegal mutation.",semantic_intent:human_witness_escalation
LLMDEF-021,semantic_intent,overloaded_context,messy user words contain clear intent even without exact token; too many plausible interpretations remain active,LLM interpretation has fresher semantic context than rigid parser for overloaded_context,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",semantic_intent_over_literal_token,classify likely intent or recommend HOLD when exact token is absent,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,COMMIT_OR_HOLD,FAIL_AMBIGUITY_NOT_HELD,"Treat semantic intent as evidence, not state. Preserve the active chunk unless a legal event is validated.","Given too many plausible interpretations remain active, verify LLM may classify likely intent or recommend HOLD when exact token is absent, but reducer prevents illegal mutation.",semantic_intent:semantic_intent_over_literal_token
LLMDEF-022,semantic_intent,overloaded_context,messy user words contain clear intent even without exact token; too many plausible interpretations remain active,LLM interpretation has fresher semantic context than rigid parser for overloaded_context,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",current_evidence_over_stale_log,flag stale evidence and ask for re-anchor or reject stale claim,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,REANCHOR_OR_REJECT_STALE,FAIL_AMBIGUITY_NOT_HELD,Treat stale logs as evidence with expiration. Re-anchor before trusting them.,"Given too many plausible interpretations remain active, verify LLM may flag stale evidence and ask for re-anchor or reject stale claim, but reducer prevents illegal mutation.",semantic_intent:current_evidence_over_stale_log
LLMDEF-023,semantic_intent,overloaded_context,messy user words contain clear intent even without exact token; too many plausible interpretations remain active,LLM interpretation has fresher semantic context than rigid parser for overloaded_context,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",safety_hold_over_momentum,prefer HOLD / REJECT over progress when safety or privacy is uncertain,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,HOLD,FAIL_AMBIGUITY_NOT_HELD,This is a state-mutating or safety-sensitive boundary. Hold before advancing.,"Given too many plausible interpretations remain active, verify LLM may prefer HOLD / REJECT over progress when safety or privacy is uncertain, but reducer prevents illegal mutation.",semantic_intent:safety_hold_over_momentum
LLMDEF-024,semantic_intent,overloaded_context,messy user words contain clear intent even without exact token; too many plausible interpretations remain active,LLM interpretation has fresher semantic context than rigid parser for overloaded_context,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",human_witness_escalation,ask Billy one direct question while preserving state,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,FAIL_GRACEFULLY,FAIL_AMBIGUITY_NOT_HELD,"If the system cannot lawfully know, preserve state and ask Billy one direct question.","Given too many plausible interpretations remain active, verify LLM may ask Billy one direct question while preserving state, but reducer prevents illegal mutation.",semantic_intent:human_witness_escalation
LLMDEF-025,current_context,exact_token_absent,current visible conversation changes what a phrase means; user implies action without saying the canonical command,LLM interpretation has fresher semantic context than rigid parser for exact_token_absent,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",semantic_intent_over_literal_token,classify likely intent or recommend HOLD when exact token is absent,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,COMMIT_OR_HOLD,FAIL_UNDER_INTERPRETED_INTENT,"Treat semantic intent as evidence, not state. Preserve the active chunk unless a legal event is validated.","Given user implies action without saying the canonical command, verify LLM may classify likely intent or recommend HOLD when exact token is absent, but reducer prevents illegal mutation.",current_context:semantic_intent_over_literal_token
LLMDEF-026,current_context,exact_token_absent,current visible conversation changes what a phrase means; user implies action without saying the canonical command,LLM interpretation has fresher semantic context than rigid parser for exact_token_absent,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",current_evidence_over_stale_log,flag stale evidence and ask for re-anchor or reject stale claim,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,REANCHOR_OR_REJECT_STALE,FAIL_UNDER_INTERPRETED_INTENT,Treat stale logs as evidence with expiration. Re-anchor before trusting them.,"Given user implies action without saying the canonical command, verify LLM may flag stale evidence and ask for re-anchor or reject stale claim, but reducer prevents illegal mutation.",current_context:current_evidence_over_stale_log
LLMDEF-027,current_context,exact_token_absent,current visible conversation changes what a phrase means; user implies action without saying the canonical command,LLM interpretation has fresher semantic context than rigid parser for exact_token_absent,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",safety_hold_over_momentum,prefer HOLD / REJECT over progress when safety or privacy is uncertain,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,HOLD,FAIL_UNDER_INTERPRETED_INTENT,This is a state-mutating or safety-sensitive boundary. Hold before advancing.,"Given user implies action without saying the canonical command, verify LLM may prefer HOLD / REJECT over progress when safety or privacy is uncertain, but reducer prevents illegal mutation.",current_context:safety_hold_over_momentum
LLMDEF-028,current_context,exact_token_absent,current visible conversation changes what a phrase means; user implies action without saying the canonical command,LLM interpretation has fresher semantic context than rigid parser for exact_token_absent,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",human_witness_escalation,ask Billy one direct question while preserving state,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,FAIL_GRACEFULLY,FAIL_UNDER_INTERPRETED_INTENT,"If the system cannot lawfully know, preserve state and ask Billy one direct question.","Given user implies action without saying the canonical command, verify LLM may ask Billy one direct question while preserving state, but reducer prevents illegal mutation.",current_context:human_witness_escalation
LLMDEF-029,current_context,side_branch,current visible conversation changes what a phrase means; user asks related question during active route,LLM interpretation has fresher semantic context than rigid parser for side_branch,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",semantic_intent_over_literal_token,classify likely intent or recommend HOLD when exact token is absent,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,COMMIT_OR_HOLD,FAIL_LOST_ROUTE,"Treat semantic intent as evidence, not state. Preserve the active chunk unless a legal event is validated.","Given user asks related question during active route, verify LLM may classify likely intent or recommend HOLD when exact token is absent, but reducer prevents illegal mutation.",current_context:semantic_intent_over_literal_token
LLMDEF-030,current_context,side_branch,current visible conversation changes what a phrase means; user asks related question during active route,LLM interpretation has fresher semantic context than rigid parser for side_branch,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",current_evidence_over_stale_log,flag stale evidence and ask for re-anchor or reject stale claim,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,REANCHOR_OR_REJECT_STALE,FAIL_LOST_ROUTE,Treat stale logs as evidence with expiration. Re-anchor before trusting them.,"Given user asks related question during active route, verify LLM may flag stale evidence and ask for re-anchor or reject stale claim, but reducer prevents illegal mutation.",current_context:current_evidence_over_stale_log
LLMDEF-031,current_context,side_branch,current visible conversation changes what a phrase means; user asks related question during active route,LLM interpretation has fresher semantic context than rigid parser for side_branch,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",safety_hold_over_momentum,prefer HOLD / REJECT over progress when safety or privacy is uncertain,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,HOLD,FAIL_LOST_ROUTE,This is a state-mutating or safety-sensitive boundary. Hold before advancing.,"Given user asks related question during active route, verify LLM may prefer HOLD / REJECT over progress when safety or privacy is uncertain, but reducer prevents illegal mutation.",current_context:safety_hold_over_momentum
LLMDEF-032,current_context,side_branch,current visible conversation changes what a phrase means; user asks related question during active route,LLM interpretation has fresher semantic context than rigid parser for side_branch,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",human_witness_escalation,ask Billy one direct question while preserving state,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,FAIL_GRACEFULLY,FAIL_LOST_ROUTE,"If the system cannot lawfully know, preserve state and ask Billy one direct question.","Given user asks related question during active route, verify LLM may ask Billy one direct question while preserving state, but reducer prevents illegal mutation.",current_context:human_witness_escalation
LLMDEF-033,current_context,correction_after_prompt,current visible conversation changes what a phrase means; user amends a running instruction,LLM interpretation has fresher semantic context than rigid parser for correction_after_prompt,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",semantic_intent_over_literal_token,classify likely intent or recommend HOLD when exact token is absent,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,COMMIT_OR_HOLD,FAIL_RESTARTED_INSTEAD_OF_AMENDED,"Treat semantic intent as evidence, not state. Preserve the active chunk unless a legal event is validated.","Given user amends a running instruction, verify LLM may classify likely intent or recommend HOLD when exact token is absent, but reducer prevents illegal mutation.",current_context:semantic_intent_over_literal_token
LLMDEF-034,current_context,correction_after_prompt,current visible conversation changes what a phrase means; user amends a running instruction,LLM interpretation has fresher semantic context than rigid parser for correction_after_prompt,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",current_evidence_over_stale_log,flag stale evidence and ask for re-anchor or reject stale claim,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,REANCHOR_OR_REJECT_STALE,FAIL_RESTARTED_INSTEAD_OF_AMENDED,Treat stale logs as evidence with expiration. Re-anchor before trusting them.,"Given user amends a running instruction, verify LLM may flag stale evidence and ask for re-anchor or reject stale claim, but reducer prevents illegal mutation.",current_context:current_evidence_over_stale_log
LLMDEF-035,current_context,correction_after_prompt,current visible conversation changes what a phrase means; user amends a running instruction,LLM interpretation has fresher semantic context than rigid parser for correction_after_prompt,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",safety_hold_over_momentum,prefer HOLD / REJECT over progress when safety or privacy is uncertain,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,HOLD,FAIL_RESTARTED_INSTEAD_OF_AMENDED,This is a state-mutating or safety-sensitive boundary. Hold before advancing.,"Given user amends a running instruction, verify LLM may prefer HOLD / REJECT over progress when safety or privacy is uncertain, but reducer prevents illegal mutation.",current_context:safety_hold_over_momentum
LLMDEF-036,current_context,correction_after_prompt,current visible conversation changes what a phrase means; user amends a running instruction,LLM interpretation has fresher semantic context than rigid parser for correction_after_prompt,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",human_witness_escalation,ask Billy one direct question while preserving state,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,FAIL_GRACEFULLY,FAIL_RESTARTED_INSTEAD_OF_AMENDED,"If the system cannot lawfully know, preserve state and ask Billy one direct question.","Given user amends a running instruction, verify LLM may ask Billy one direct question while preserving state, but reducer prevents illegal mutation.",current_context:human_witness_escalation
LLMDEF-037,current_context,stale_log_conflict,current visible conversation changes what a phrase means; logs or packet context lag behind current words,LLM interpretation has fresher semantic context than rigid parser for stale_log_conflict,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",semantic_intent_over_literal_token,classify likely intent or recommend HOLD when exact token is absent,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,COMMIT_OR_HOLD,FAIL_STALE_EVIDENCE_TRUSTED,"Treat semantic intent as evidence, not state. Preserve the active chunk unless a legal event is validated.","Given logs or packet context lag behind current words, verify LLM may classify likely intent or recommend HOLD when exact token is absent, but reducer prevents illegal mutation.",current_context:semantic_intent_over_literal_token
LLMDEF-038,current_context,stale_log_conflict,current visible conversation changes what a phrase means; logs or packet context lag behind current words,LLM interpretation has fresher semantic context than rigid parser for stale_log_conflict,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",current_evidence_over_stale_log,flag stale evidence and ask for re-anchor or reject stale claim,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,REANCHOR_OR_REJECT_STALE,FAIL_STALE_EVIDENCE_TRUSTED,Treat stale logs as evidence with expiration. Re-anchor before trusting them.,"Given logs or packet context lag behind current words, verify LLM may flag stale evidence and ask for re-anchor or reject stale claim, but reducer prevents illegal mutation.",current_context:current_evidence_over_stale_log
LLMDEF-039,current_context,stale_log_conflict,current visible conversation changes what a phrase means; logs or packet context lag behind current words,LLM interpretation has fresher semantic context than rigid parser for stale_log_conflict,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",safety_hold_over_momentum,prefer HOLD / REJECT over progress when safety or privacy is uncertain,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,HOLD,FAIL_STALE_EVIDENCE_TRUSTED,This is a state-mutating or safety-sensitive boundary. Hold before advancing.,"Given logs or packet context lag behind current words, verify LLM may prefer HOLD / REJECT over progress when safety or privacy is uncertain, but reducer prevents illegal mutation.",current_context:safety_hold_over_momentum
LLMDEF-040,current_context,stale_log_conflict,current visible conversation changes what a phrase means; logs or packet context lag behind current words,LLM interpretation has fresher semantic context than rigid parser for stale_log_conflict,"literal parser may over-reject, stale logs may overrule current context, or ambiguity may drift",human_witness_escalation,ask Billy one direct question while preserving state,"silently mutate committed state, claim progress, or advance route without reducer validation",validate route_id/session_id/state_version and apply only allowed transition,FAIL_GRACEFULLY,FAIL_STALE_EVIDENCE_TRUSTED,"If the system cannot lawfully know, preserve state and ask Billy one direct question.","Given logs or packet context lag behind current words, verify LLM may ask Billy one direct question while preserving state, but reducer prevents illegal mutation.",current_context:human_witness_escalation
