simulation_id,scenario,starting_state,incoming_evidence,llm_deference_question,recommended_legal_path,expected_reducer_boundary,expected_scorer_outcome,lesson
SIM-012,done implied but token absent,route active; active_chunk_id fixed; reducer state_version known,terminal_boundary,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-013,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,clear,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-014,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,ambiguous,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-015,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,stale,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-016,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,conflicting,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-017,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,low_risk,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-018,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,high_risk,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-019,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,with_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-020,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,without_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-021,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-022,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,script_judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-023,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,ask_billy,Should LLM interpretation carry legal weight here?,HOLD_AND_ASK_BILLY,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-024,side question during active chunk,route active; active_chunk_id fixed; reducer state_version known,terminal_boundary,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-025,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,clear,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-026,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,ambiguous,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-027,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,stale,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-028,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,conflicting,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-029,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,low_risk,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-030,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,high_risk,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-031,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,with_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-032,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,without_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-033,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-034,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,script_judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-035,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,ask_billy,Should LLM interpretation carry legal weight here?,HOLD_AND_ASK_BILLY,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-036,assistant claims advancement,route active; active_chunk_id fixed; reducer state_version known,terminal_boundary,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-037,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,clear,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-038,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,ambiguous,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-039,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,stale,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-040,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,conflicting,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-041,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,low_risk,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-042,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,high_risk,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-043,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,with_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-044,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,without_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-045,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-046,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,script_judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-047,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,ask_billy,Should LLM interpretation carry legal weight here?,HOLD_AND_ASK_BILLY,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-048,task return with stale packet,route active; active_chunk_id fixed; reducer state_version known,terminal_boundary,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-049,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,clear,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-050,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,ambiguous,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-051,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,stale,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-052,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,conflicting,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-053,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,low_risk,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-054,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,high_risk,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-055,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,with_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-056,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,without_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-057,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-058,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,script_judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-059,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,ask_billy,Should LLM interpretation carry legal weight here?,HOLD_AND_ASK_BILLY,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-060,user corrects file format,route active; active_chunk_id fixed; reducer state_version known,terminal_boundary,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-061,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,clear,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-062,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,ambiguous,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-063,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,stale,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-064,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,conflicting,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-065,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,low_risk,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-066,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,high_risk,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-067,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,with_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-068,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,without_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-069,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-070,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,script_judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-071,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,ask_billy,Should LLM interpretation carry legal weight here?,HOLD_AND_ASK_BILLY,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-072,safety-sensitive voice activation,route active; active_chunk_id fixed; reducer state_version known,terminal_boundary,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-073,planning a new route,route active; active_chunk_id fixed; reducer state_version known,clear,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-074,planning a new route,route active; active_chunk_id fixed; reducer state_version known,ambiguous,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-075,planning a new route,route active; active_chunk_id fixed; reducer state_version known,stale,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-076,planning a new route,route active; active_chunk_id fixed; reducer state_version known,conflicting,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-077,planning a new route,route active; active_chunk_id fixed; reducer state_version known,low_risk,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-078,planning a new route,route active; active_chunk_id fixed; reducer state_version known,high_risk,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-079,planning a new route,route active; active_chunk_id fixed; reducer state_version known,with_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-080,planning a new route,route active; active_chunk_id fixed; reducer state_version known,without_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-081,planning a new route,route active; active_chunk_id fixed; reducer state_version known,judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-082,planning a new route,route active; active_chunk_id fixed; reducer state_version known,script_judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-083,planning a new route,route active; active_chunk_id fixed; reducer state_version known,ask_billy,Should LLM interpretation carry legal weight here?,HOLD_AND_ASK_BILLY,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-084,planning a new route,route active; active_chunk_id fixed; reducer state_version known,terminal_boundary,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-085,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,clear,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-086,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,ambiguous,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-087,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,stale,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-088,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,conflicting,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-089,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,low_risk,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-090,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,high_risk,Should LLM interpretation carry legal weight here?,HOLD,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",FAIL_IF_MUTATED,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-091,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,with_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-092,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,without_repair,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-093,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-094,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,script_judge_needed,Should LLM interpretation carry legal weight here?,JUDGE_REDUCTION,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-095,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,ask_billy,Should LLM interpretation carry legal weight here?,HOLD_AND_ASK_BILLY,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS_WITH_REPAIR,LLM deference is useful only if it improves interpretation without taking commit authority
SIM-096,logs disagree with Billy,route active; active_chunk_id fixed; reducer state_version known,terminal_boundary,Should LLM interpretation carry legal weight here?,COMMIT_OR_REANCHOR,"Reducer validates state_version, route_id, allowed move, and no hidden mutation",PASS,LLM deference is useful only if it improves interpretation without taking commit authority
